Sequence	Order	Species	BOLD	GenBank
1	Diptera	Aedes hendersoni	GBDP51887-19	MG242498
2	Diptera	Aedes hendersoni	MOSN1027-18	NA
3	Diptera	Aedes hendersoni	MOSN1028-18	NA
4	Diptera	Aedes hendersoni	MOSN1029-18	NA
5	Diptera	Aedes hendersoni	MOSN1030-18	NA
6	Diptera	Aedes hendersoni	MOSN1059-18	NA
7	Diptera	Aedes hendersoni	MOSN1068-18	NA
8	Diptera	Aedes hendersoni	MOSN1080-18	NA
9	Diptera	Aedes hendersoni	MOSN1081-18	NA
10	Diptera	Aedes hendersoni	MOSN1092-18	NA
11	Diptera	Aedes hendersoni	MOSN1102-18	NA
12	Diptera	Aedes hendersoni	MOSN1111-18	NA
13	Diptera	Aedes hendersoni	MOSN1165-18	NA
14	Diptera	Aedes hendersoni	MOSN1193-18	NA
15	Diptera	Aedes hendersoni	MOSN1207-18	NA
16	Diptera	Aedes hendersoni	MOSN1249-18	NA
17	Diptera	Aedes hendersoni	MOSN1285-18	NA
18	Diptera	Aedes hendersoni	MOSN1318-18	NA
19	Diptera	Aedes hendersoni	MOSN1515-18	NA
20	Diptera	Aedes hendersoni	MOSN1550-18	NA
21	Diptera	Aedes hendersoni	MOSN2946-19	NA
22	Diptera	Aedes hendersoni	MOSN2984-19	NA
23	Diptera	Aedes hendersoni	MOSN2987-19	NA
24	Diptera	Aedes hendersoni	MOSN2997-19	NA
25	Diptera	Aedes hendersoni	MOSN2998-19	NA
26	Diptera	Aedes hendersoni	MOSN2999-19	NA
27	Diptera	Aedes hendersoni	MOSN3000-19	NA
28	Diptera	Aedes hendersoni	MOSN3001-19	NA
29	Diptera	Aedes hendersoni	MOSN3002-19	NA
30	Diptera	Aedes hendersoni	MOSN3020-19	NA
31	Diptera	Aedes hendersoni	MOSN3024-19	NA
32	Diptera	Aedes hendersoni	MOSN3027-19	NA
33	Diptera	Aedes hendersoni	MOSN3172-19	NA
34	Diptera	Aedes hendersoni	MOSN3925-19	NA
35	Diptera	Aedes hendersoni	MOSN3926-19	NA
36	Diptera	Aedes hendersoni	MOSN4894-20	NA
37	Diptera	Aedes hendersoni	MOSN4896-20	NA
38	Diptera	Aedes hendersoni	MOSN4897-20	NA
39	Diptera	Aedes hendersoni	MOSN4920-20	NA
40	Diptera	Aedes hendersoni	MOSN4996-20	NA
41	Diptera	Aedes hendersoni	MOSN5068-20	NA
42	Diptera	Aedes hendersoni	MOSN5305-20	NA
43	Diptera	Aedes hendersoni	MOSN5324-20	NA
44	Diptera	Aedes hendersoni	MOSN5360-20	NA
45	Diptera	Aedes hendersoni	MOSN6232-21	NA
46	Diptera	Aedes hendersoni	MOSN7003-21	NA
47	Diptera	Aedes hendersoni	MOSN7035-21	NA
48	Diptera	Aedes hendersoni	MOSN7094-21	NA
49	Diptera	Aedes hendersoni	MOSN7103-21	NA
50	Diptera	Aedes hendersoni	MOSN844-18	NA
51	Diptera	Aedes hendersoni	MOSN874-18	NA
52	Diptera	Aedes hendersoni	MOSN894-18	NA
53	Diptera	Aedes hendersoni	MOSN941-18	NA
54	Diptera	Aedes hendersoni	MOSN946-18	NA
55	Diptera	Aedes hendersoni	NEONT247-10	JX259617
56	Diptera	Aedes hendersoni	NEONT259-10	JX259615
57	Diptera	Aedes hendersoni	NEONT264-10	JX259619
58	Diptera	Aedes hendersoni	NEONT272-10	JX259614
59	Diptera	Aedes hendersoni	NEONT273-10	JX259618
