Calopteryx splendens
Chalcolestes viridis
Coenagrion puella
Coenagrion pulchellum
Enallagma anna
Enallagma carunculatum
Enallagma cyathigerum
Enallagma hageni
Erythromma lindenii
Erythromma najas
Ischnura barberi
Ischnura cervula
Ischnura damula
Ischnura demorsa
Ischnura denticollis
Ischnura elegans
Ischnura elegans
Ischnura erratica
Ischnura fountaineae
Ischnura gemina
Ischnura genei
Ischnura graellsii
Ischnura perparva
Ischnura pumilio
Ischnura ramburii
Ischnura saharensis
Lestes disjunctus
Lestes sponsa
Platycnemis pennipes
Pyrrhosoma nymphula
Sympecma fusca
